id_servico_estabelecimento;nm_servico_estabelecimento;ds_servico_estabelecimento;duracao;id_servico_categoria_estabelecimento;id_estabelecimento;id_servico;ativo;preco;preco_fixo;id_preco_tipo;exibe_preco;custo_descartaveis;dt_cadastro;dt_ultima_atualizacao;codigo_interno;id_ncm_nbs;aliquota_icms;id_situacao_tributaria;id_servico_estabelecimento_modelo;aliquota_pis;aliquota_cofins;id_promocao;usado_lista_espera;usado_fila_espera;cliente_ganha_pontos;cliente_pode_resgatar_pontos;pontos_necessarios_para_resgate;codigo_ncm_ibpt;servico_indisponivel_para_clientes
1816911;Colocação de Cílios Postiços;Colocação de Cílios;30;174.146;23.614;150;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1047;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816912;Maquiagem Definitiva;Maquiagem Definitiva;120;174.146;23.614;151;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1296;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816913;Maquiagem Definitiva para os Lábios;Maquiagem Definitiva para os Lábios;120;174.146;23.614;152;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1297;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816914;Maquiagem Definitiva para Sobrancelhas;Maquiagem Definitiva para Sobrancelhas;120;174.146;23.614;153;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1298;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816915;Pintura Sobrancelhas - Henna;Pintura Sobrancelhas - Henna;30;174.147;23.614;144;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1359;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816916;Design de Sobrancelha;Design de Sobrancelha;30;174.147;23.614;68;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1187;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816917;Sobrancelha na Cera;Sobrancelha na Cera;30;174.147;23.614;72;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1389;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816918;Sobrancelha na Pinça;Sobrancelha na Pinça;30;174.147;23.614;73;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1390;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816919;Sobrancelha com Linha;Permite um design moderno sem dor, totalmente confortável.;30;174.147;23.614;167;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1388;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816920;Drenagem Linfática;Drenagem Linfática;60;174.148;23.614;155;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1191;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816921;Massagem Relaxante;Massagem Relaxante;60;174.148;23.614;156;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1309;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816922;Bandagem Quente ou Termoterapia;São bandas térmicas que aumentam a temperatura superficial local ativando o metabolismo.;60;174.148;23.614;307;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1018;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816923;Depilação de Axilas;"Depilação com cera da região das Axilas. Com a depilação, os pelos crescem mais uniformes e finos, além de demorarem mais tempo para crescer.
";30;174.149;23.614;61;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1095;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816924;Depilação de Buço;"Depilação com cera do Buço. Ideal para mulheres que estão incomodadas com pelos no rosto.
";20;174.149;23.614;62;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1098;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816925;Depilação de Meia Perna;Meia Perna;30;174.149;23.614;63;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1103;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816926;Depilação outras regiões com cera;Depilação com Cera;30;174.149;23.614;65;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1182;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816927;Depilação outras regiões com linha;Permite um design moderno sem dor, totalmente confortável.;30;174.149;23.614;66;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1183;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816928;Depilação de Virilha Completa;Depilação Virilha Completa;60;174.149;23.614;67;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1125;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816929;Depilação de Perna Inteira;Perna Inteira;30;174.149;23.614;69;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1111;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816930;Depilação de Virilha Simples;"Depilação com cera da virilha.
";30;174.149;23.614;70;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1126;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816931;Depilação de Braços;Depilação Braço;30;174.149;23.614;76;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1097;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816932;Depilação de Rosto Feminino;Depilação de Rosto Feminino.;30;174.149;23.614;79;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1118;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
