1816886;Esmaltação - Mãos;"Apenas Passar ou Trocar o Esmalte das unhas das mãos. ";20;174143;23614;274;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.9470000;1232;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816887;Esmaltação - Pés;"Apenas Passar ou Trocar o Esmalte das unhas dos pés. ";20;174143;23614;275;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.9670000;1233;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816888;Manicure Masculina;"Cortar as unhas das mãos, lixar, hidratar e cutilar. ";30;174143;23614;279;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.9800000;1291;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816889;Pedicure Masculina;"Cortar as unhas dos pés, lixar, hidratar e cutilar. ";30;174143;23614;280;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:12.9900000;1335;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816890;Manicure e Pedicure Masculina;"Cortar as unhas das mãos e dos pés, lixar, hidratar e cutilar. ";60;174143;23614;281;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0000000;1290;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816891;Unha de Gel - Colocação;Artificiais, as unhas de gel são vistas como extensões das naturais. Um gel UV é colocado sobre asunhas naturais. Então as mãos são submetidas a luzes ultravioletas que fixam o gel às unhas. Existe opção de colocar extensões ou não, e o efeito final são mãos elegantes com unhas naturais, flexíveis e fortes. É indolor e não emite odor desagradável.;120;174144;23614;126;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0200000;1427;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816892;Unha de Acrigel - Colocação;"Colocação de unhas de Acrigel. ";120;174144;23614;127;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0300000;1421;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816893;Unha de Porcelana - Colocação;Alonga as unhas, valorizando o formato. Indicado pra quem rói as unhas, pra repor alguma unha quebrada, ou simplesmente para embelezar as mãos;120;174144;23614;129;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0400000;1429;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816894;Unha de Acrigel - Manutenção;"Manutenção de unhas de Acrigel. ";120;174144;23614;138;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0570000;1422;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816895;Unha de Cristal - Manutenção;Unha de Cristal;120;174144;23614;139;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.0730000;1424;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
